perturbation_type,ell,overtone,mode,confidence_tier,a_over_M,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,spectral_leaver_relative_difference,continued_fraction_abs,polynomial_backward_error_raw,schwarzschild_literature_real,schwarzschild_literature_imag,literature_relative_error,literature_tolerance,spectral_leaver_validation_passed,literature_validation_passed,literature_source
gravitational,3,2,second overtone,exploratory_diagnostic,0.5,32,0.5383310652777824,-0.4760738055345613,0.5383310951514654,-0.47607379935028044,4.2451007879031324e-08,1.6954932186569606e-11,8.574261564980086e-21,,,,,True,,
gravitational,3,0,fundamental,robust_quantitative,1.0,32,0.5550880799210578,-0.0901082174964466,0.5550880799210591,-0.09010821749642933,3.0790731133602955e-14,7.301351988545593e-16,3.0152500612681604e-20,,,,,True,,
gravitational,3,1,first overtone,validated_low_lying,1.0,32,0.536959037138769,-0.27376487315178066,0.5369590372055771,-0.27376487310014164,1.4009609564961757e-10,1.1100897898676363e-13,3.2585707143566835e-21,,,,,True,,
gravitational,3,2,second overtone,exploratory_diagnostic,1.0,32,0.5035009402796791,-0.4674472264910841,0.5035009350372502,-0.46744722244331827,9.640310814875638e-09,5.717779187580162e-11,4.12171389240624e-21,,,,,True,,
gravitational,4,0,fundamental,robust_quantitative,0.0,32,0.8091783775322189,-0.09416396098887103,0.8091783775322391,-0.09416396098892321,6.868825342770505e-14,8.617648093045562e-16,5.215973450471169e-20,0.809178378,-0.094163961,5.743551995845234e-10,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,4,1,first overtone,validated_low_lying,0.0,32,0.7966315320434891,-0.2843343493974015,0.7966315320345024,-0.2843343494048407,1.3792352305161642e-11,2.434909185329438e-15,1.9927180462241937e-20,0.796631,-0.284334,7.52506428636245e-07,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,4,2,second overtone,exploratory_diagnostic,0.0,32,0.7727095343041337,-0.4799081770294403,0.77270953260671,-0.4799081751211634,2.807762221168071e-09,4.12167961557554e-15,1.3693202843945537e-20,0.772695,-0.4799,1.833148221531121e-05,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,4,0,fundamental,robust_quantitative,0.2,32,0.8064638343560504,-0.09405501714589921,0.8064638343562723,-0.0940550171460168,3.0933642223607694e-13,7.021666937153402e-16,2.8329404267023606e-20,,,,,True,,
gravitational,4,1,first overtone,validated_low_lying,0.2,32,0.7938708926153573,-0.28401432863075604,0.7938708925998788,-0.28401432864725223,2.6829252980716285e-11,1.9389211565826713e-15,1.1004233726961246e-20,,,,,True,,
gravitational,4,2,second overtone,exploratory_diagnostic,0.2,32,0.7698599229753988,-0.47939845158231886,0.7698599205776621,-0.4793984490963362,3.808349060741258e-09,1.3788683915077173e-15,9.430653419448654e-21,,,,,True,,
gravitational,4,0,fundamental,robust_quantitative,0.5,32,0.7927343325646484,-0.09349025983973137,0.7927343325645653,-0.09349025983983186,1.6340390633653617e-13,9.485749680535094e-16,3.8340110203367523e-20,,,,,True,,
gravitational,4,1,first overtone,validated_low_lying,0.5,32,0.7799096781423982,-0.28235468607483466,0.7799096780950937,-0.28235468611444486,7.43848407952179e-11,5.7302997460712835e-15,8.418498953933681e-21,,,,,True,,
gravitational,4,2,second overtone,exploratory_diagnostic,0.5,32,0.7554513809331379,-0.4767529318352223,0.7554513717358383,-0.4767529239114273,1.3589802490677995e-08,1.9507174594079395e-13,1.4385612112402842e-21,,,,,True,,
gravitational,4,0,fundamental,robust_quantitative,1.0,32,0.7497692937568571,-0.0915693362788306,0.7497692937568452,-0.09156933627884145,2.1301943888376897e-14,4.47545209131181e-16,1.6219011582201403e-20,,,,,True,,
gravitational,4,1,first overtone,validated_low_lying,1.0,32,0.7362390718056837,-0.2767022790174532,0.7362390717936736,-0.2767022790309613,2.298115770414292e-11,1.0934428697813141e-15,5.370762202114046e-21,,,,,True,,
gravitational,4,2,second overtone,exploratory_diagnostic,1.0,32,0.7104175058715624,-0.4677204437223942,0.7104175020792383,-0.46772044154739545,5.1398572333597516e-09,6.874782104478211e-14,2.716046677213852e-21,,,,,True,,
